City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Parnu,EE,58.3859,24.4971,24.89,93,100,2.3,overcast clouds
258,Tuatapere,NZ,-46.1333,167.6833,55.0,84,64,12.24,broken clouds
259,Cabinda,AO,-5.55,12.2,77.72,88,75,3.13,light rain
260,Chokurdakh,RU,70.6333,147.9167,-32.37,100,96,2.98,overcast clouds
261,Beloha,MG,-25.1667,45.05,71.65,90,100,7.92,overcast clouds
262,Blyth,GB,55.1271,-1.5086,40.26,86,100,2.3,overcast clouds
263,Codrington,AU,-38.2667,141.9667,65.97,60,35,12.37,scattered clouds
264,Rocha,UY,-34.4833,-54.3333,67.24,97,6,2.64,clear sky
265,Nakasongola,UG,1.3089,32.4564,66.16,66,37,3.27,scattered clouds
266,Salalah,OM,17.0151,54.0924,69.89,73,20,3.44,few clouds
267,Jasper,US,37.2001,-94.3502,61.0,74,20,12.66,few clouds
268,Samarai,PG,-10.6167,150.6667,80.35,80,100,11.52,light rain
269,Hovd,MN,48.0056,91.6419,3.72,83,23,0.67,few clouds
270,Minas,UY,-34.3759,-55.2377,66.78,89,1,5.93,clear sky
271,Lovozero,RU,68.005,35.0117,26.28,87,100,5.95,overcast clouds
272,Miri,MY,4.4148,114.0089,84.34,74,40,8.05,scattered clouds
273,Pokhara,NP,28.2333,83.9833,61.0,47,61,2.73,broken clouds
274,Flinders,AU,-34.5833,150.8552,74.25,81,71,2.48,broken clouds
275,Hithadhoo,MV,-0.6,73.0833,81.75,67,99,9.69,overcast clouds
276,Mbekenyera,TZ,-10.0,38.9833,70.11,99,100,1.79,moderate rain
277,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,82.33,29,74,3.62,broken clouds
278,Derzhavinsk,KZ,51.1,66.3167,-3.75,100,88,5.48,overcast clouds
279,Talaya,RU,61.3833,152.75,-29.33,95,100,3.44,overcast clouds
280,Smidovich,RU,48.6,133.8167,1.94,91,55,6.42,broken clouds
281,Ipojuca,BR,-8.3989,-35.0639,78.71,70,86,6.58,overcast clouds
282,Cidreira,BR,-30.1811,-50.2056,73.56,77,0,8.41,clear sky
